x1_image,x2_image,main softmax,branch softmax,prediction_main,prediction_branch,true result
vehicle_images/1633895426116_Toyota Corolla 141 2008 for sale.jpg,vehicle_images/1633900693490_Toyota Axio G Grade 2016 for sale.jpg,"[0.6929745674133301, 0.14135213196277618, 5.163368314242689e-06, 0.16566817462444305]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895426261_Toyota Premio G Superior 2011 for sale.jpg,vehicle_images/1633900693881_Toyota Prius 2012 for sale.jpg,"[0.11881311982870102, 0.87430340051651, 1.2961308470949007e-07, 0.006883322726935148]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895461906_Toyota Prius 2013 for sale.jpg,vehicle_images/1633900694034_Toyota Premio G Superior 2014 for sale.jpg,"[0.031032375991344452, 0.08703061938285828, 0.031458307057619095, 0.8504787087440491]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895462256_Toyota Prius 2013 for sale.jpg,vehicle_images/1633900694630_Toyota Axio 2015 for sale.jpg,"[0.3200993537902832, 0.5138626098632812, 2.7992509785690345e-06, 0.1660352200269699]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895463576_Toyota Land Cruiser Prado Diesel Auto Push 2012 for sale.jpg,vehicle_images/1633900694771_Toyota CHR NGX50 2017 for sale.jpg,"[0.8165769577026367, 0.07593971490859985, 0.0028754721861332655, 0.10460779815912247]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895463916_Toyota Allion 260 2008 for sale.jpg,vehicle_images/1633900695599_Toyota Vitz 2008 for sale.jpg,"[0.4433036744594574, 0.5143730044364929, 0.0006348590832203627, 0.04168843850493431]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895464288_Toyota Vitz 2015 for sale.jpg,vehicle_images/1633900696673_Toyota Allion NZT260 2010 for sale.jpg,"[0.04261269420385361, 0.012123004533350468, 0.9320012927055359, 0.013263081200420856]","[0.013420138508081436, 0.04387086629867554, 0.5162386298179626, 0.42647042870521545]",2,2,0
vehicle_images/1633895464456_Toyota Vitz 2018 for sale.jpg,vehicle_images/1633900697010_Toyota Vitz ksp130 F Grade 2015 for sale.jpg,"[0.5861350893974304, 0.35468268394470215, 2.8078138711862266e-06, 0.05917932465672493]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895464766_Toyota Axio 2018 for sale.jpg,vehicle_images/1633900728357_Toyota Axio G Grade Safety 2015 for sale.jpg,"[0.3151709735393524, 0.6626235842704773, 1.729593890331671e-07, 0.022205298766493797]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895465266_Toyota Land Cruiser Sahara petrol 2017 for sale.jpg,vehicle_images/1633900728528_Toyota Premio 2013 for sale.jpg,"[0.0006992111448198557, 0.00836452841758728, 0.9904126524925232, 0.000523657479789108]","[6.040828884579241e-05, 0.0007415975560434163, 0.8922659754753113, 0.10693203657865524]",2,2,0
vehicle_images/1633895465606_Toyota Belta 2008 for sale.jpg,vehicle_images/1633900729168_Toyota Hilux Vigo Double cab 2006 for sale.jpg,"[0.3010249435901642, 0.4948006570339203, 0.10655041038990021, 0.09762395173311234]","[0.04570913314819336, 0.10474874079227448, 0.35588037967681885, 0.4936617314815521]",1,3,0
vehicle_images/1633895491656_Toyota Passo 2017 for sale.jpg,vehicle_images/1633900729311_Toyota Premio 2016 for sale.jpg,"[0.2620200216770172, 0.708907961845398, 7.926503712951671e-06, 0.029064087197184563]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895492776_Toyota Belta Full Option 2010 for sale.jpg,vehicle_images/1633900729780_Toyota Vitz 1300 cc 2008 for sale.jpg,"[0.06974004209041595, 0.16059266030788422, 0.002739058341830969, 0.7669281959533691]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895492906_Toyota Corolla AE 101 Uk Version 1994 for sale.jpg,vehicle_images/1633900729953_Toyota Axio 2015 for sale.jpg,"[0.5739784240722656, 0.3330106735229492, 0.01798567734658718, 0.07502524554729462]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895493226_Toyota Premio 2018 for sale.jpg,vehicle_images/1633900730228_Toyota Vitz jewela 2015 for sale.jpg,"[0.23628582060337067, 0.5558934807777405, 1.710904307117289e-08, 0.20782069861888885]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895493386_Toyota Premio 2010 for sale.jpg,vehicle_images/1633900730871_Toyota Vitz 2018 edition 2 for sale.jpg,"[0.16195659339427948, 0.23464420437812805, 0.0002850383461918682, 0.603114128112793]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895493516_Toyota Belta 2012 for sale.jpg,vehicle_images/1633900731207_Toyota Vitz Edition 3 2019 LED for sale.jpg,"[0.06140672415494919, 0.8942793011665344, 0.03608868271112442, 0.008225180208683014]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895493806_Toyota Corolla 121 2001 for sale.jpg,vehicle_images/1633900731379_Toyota Premio F Ex 2018 for sale.jpg,"[0.6957047581672668, 0.08543358743190765, 5.247671808206178e-08, 0.21886159479618073]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895494726_Toyota Aqua S GradeDAANHP10 2012 for sale.jpg,vehicle_images/1633900731507_Toyota Vitz 2015 for sale.jpg,"[0.49655914306640625, 0.46037963032722473, 0.014573660679161549, 0.028487512841820717]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895495456_Toyota Axio 2012 for sale.jpg,vehicle_images/1633900731648_Toyota Axio 2015 for sale.jpg,"[0.9442907571792603, 0.04884848743677139, 5.14465500600636e-05, 0.006809284910559654]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895524398_Toyota Land Cruiser Prado 2015 for sale.jpg,vehicle_images/1633900731898_Toyota Aqua G grade 2015 for sale.jpg,"[0.885830283164978, 0.09998950362205505, 3.2415732675872277e-06, 0.014176953583955765]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895525608_Toyota Vitz 2017 for sale.jpg,vehicle_images/1633900732059_Toyota Hilux vigo 2007 for sale.jpg,"[0.6080216765403748, 0.2641380727291107, 1.5196300182651612e-06, 0.12783873081207275]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895525778_Toyota Yaris 2007 for sale.jpg,vehicle_images/1633900732231_Toyota Axio G Grade Safety 2015 for sale.jpg,"[0.3589933216571808, 0.6034454703330994, 8.500619941287368e-08, 0.037561122328042984]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895526568_Toyota Axio 2015 for sale.jpg,vehicle_images/1633900732530_Toyota Prius 2008 for sale.jpg,"[0.8202420473098755, 0.039415325969457626, 3.4426093975525873e-07, 0.14034222066402435]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895527050_Toyota Vitz KSP90 2007 for sale.jpg,vehicle_images/1633900757246_Toyota Prius S Touring 2013 for sale.jpg,"[0.667706310749054, 0.16022738814353943, 3.871008118494501e-07, 0.17206589877605438]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895527246_Toyota Aqua G Grade 2013 for sale.jpg,vehicle_images/1633900757417_Toyota Passo MODA 2016 for sale.jpg,"[0.8782820701599121, 0.08517063409090042, 0.023832552134990692, 0.01271476037800312]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895527586_Toyota Axio 2015 for sale.jpg,vehicle_images/1633900757605_Toyota Aqua sgrade 2013 for sale.jpg,"[0.8257926106452942, 0.12513940036296844, 0.026013504713773727, 0.02305450104176998]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895527752_Toyota Prius KT 2010 for sale.jpg,vehicle_images/1633900758082_Toyota Premio ESTIMA 2010 for sale.jpg,"[0.3210969865322113, 0.5402224659919739, 0.05674714222550392, 0.0819333866238594]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895527900_Toyota Axio X Grade 2007 for sale.jpg,vehicle_images/1633900758240_Toyota Axio Hybrid 2016 for sale.jpg,"[0.6984402537345886, 0.2883036732673645, 1.0901981539745975e-07, 0.013256022706627846]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895528422_Toyota Hilux V Grade 2018 for sale.jpg,vehicle_images/1633900759047_Toyota Rush Japan 2006 for sale.jpg,"[0.4553181529045105, 0.5142415761947632, 4.73919271826162e-06, 0.030435552820563316]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895528766_Toyota Axio Hybrid 2015 for sale.jpg,vehicle_images/1633900760242_Toyota Prius G Grade 2011 for sale.jpg,"[0.6572110652923584, 0.04903794825077057, 2.5687747893243795e-06, 0.2937483787536621]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895556243_Toyota Axio 2015 for sale.jpg,vehicle_images/1633900761410_Toyota CHR Limited Edition 2019 for sale.jpg,"[0.2596680819988251, 0.6741961240768433, 1.4379787138807387e-08, 0.06613577902317047]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895556437_Toyota Vitz 2016 for sale.jpg,vehicle_images/1633900789156_Toyota Hilux Surf SSRX 1996 for sale.jpg,"[0.9098649024963379, 0.06180623173713684, 1.2343563184913364e-06, 0.028327640146017075]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895556889_Toyota Vitz U Grade 2006 for sale.jpg,vehicle_images/1633900789283_Toyota Aqua 20132015 2013 for sale.jpg,"[0.859477698802948, 0.1359291523694992, 0.0004794681735802442, 0.004113717935979366]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895557067_Toyota Prius G touring 2013 for sale.jpg,vehicle_images/1633900789441_Toyota Allion 260 G Grade 2013 for sale.jpg,"[0.16752739250659943, 0.8027555346488953, 1.365997235325267e-07, 0.029717065393924713]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895557618_Toyota Vitz 2017 for sale.jpg,vehicle_images/1633900789675_Toyota Prius 3rd Gen 2013 for sale.jpg,"[0.11048253625631332, 0.2465590089559555, 0.36799126863479614, 0.2749672532081604]","[0.028563639149069786, 0.07544311881065369, 0.42112496495246887, 0.4748683273792267]",2,3,0
vehicle_images/1633895557801_Toyota Aqua X Urban 2015 for sale.jpg,vehicle_images/1633900789803_Toyota Aqua G Grade 2013 for sale.jpg,"[0.26197105646133423, 0.21182316541671753, 0.01865345984697342, 0.5075522661209106]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895558249_Toyota Harrier E Four 2008 for sale.jpg,vehicle_images/1633900790142_Toyota Vitz Push start 2008 for sale.jpg,"[0.6298354864120483, 0.27499499917030334, 0.000385909661417827, 0.09478360414505005]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895559292_Toyota Aqua S grade 2012 for sale.jpg,vehicle_images/1633900791010_Toyota Prius g grade 2013 for sale.jpg,"[0.5444064140319824, 0.4372861087322235, 0.00032895090407691896, 0.01797843724489212]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895559600_Toyota Lexus Rx300 2001 for sale.jpg,vehicle_images/1633900791668_Toyota Aqua G Grade 2013 for sale.jpg,"[0.025851689279079437, 0.2743392884731293, 0.00197746348567307, 0.6978315711021423]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,0
vehicle_images/1633895560143_Toyota Wigo 2018 for sale.jpg,vehicle_images/1633900792868_Toyota Carina Ti 1998 for sale.jpg,"[0.4227038323879242, 0.23095238208770752, 7.902381184976548e-07, 0.3463430106639862]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895560328_Toyota Vitz 2015 for sale.jpg,vehicle_images/1633900793048_Toyota Vitz Safety Edition 2016 for sale.jpg,"[0.6744620203971863, 0.0756637379527092, 0.0018792119808495045, 0.24799497425556183]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895583956_Toyota CHR 2018 for sale.jpg,vehicle_images/1633900820098_Toyota Aqua X Urban 2015 for sale.jpg,"[0.8977382183074951, 0.06877051293849945, 0.005466608330607414, 0.02802453003823757]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895584892_Toyota Vitz GT 1300 2007 for sale.jpg,vehicle_images/1633900820491_Toyota Axio Fielder 2007 for sale.jpg,"[0.688948392868042, 0.2664707899093628, 0.033812183886766434, 0.010768571868538857]","[0.04179893434047699, 0.09847979992628098, 0.3686334192752838, 0.4910878837108612]",0,3,0
vehicle_images/1633895585791_Toyota Premio G Superior 2018 for sale.jpg,vehicle_images/1633900820774_Toyota Vitz KSP90 2008 for sale.jpg,"[0.8557600975036621, 0.07325755059719086, 7.153310122021139e-08, 0.07098222523927689]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895586255_Toyota CHR NGX10 GT Turbo 2019 for sale.jpg,vehicle_images/1633900821412_Toyota Prius 4th Gen 2016 for sale.jpg,"[0.5851548314094543, 0.39139100909233093, 1.5381777984657674e-06, 0.02345268987119198]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633895586404_Toyota Axio WXB 2017 for sale.jpg,vehicle_images/1633900822671_Toyota Premio G superior 2018 for sale.jpg,"[0.41723278164863586, 0.5601274967193604, 4.367163075613689e-09, 0.022639641538262367]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,0
vehicle_images/1633895586565_Toyota Premio 2017 for sale.jpg,vehicle_images/1633900823100_Toyota Premio G Superior 2018 for sale.jpg,"[0.734927773475647, 0.2507476806640625, 8.017135399995823e-08, 0.014324418269097805]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,0
vehicle_images/1633899828491_Suzuki Wagon R FZ 2014 for sale.jpg,./vehicle_images/1636035223867_Suzuki Alto 2015 Car.jpg,"[0.09697172045707703, 0.34232664108276367, 0.00012978118320461363, 0.5605718493461609]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,1
vehicle_images/1633899852251_Suzuki Swift RS turbo 2017 for sale.jpg,./vehicle_images/1636035226205_Suzuki Alto Sports 2000 Car.jpg,"[0.46523308753967285, 0.4951390326023102, 3.642604951892281e-06, 0.03962424024939537]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899853137_Suzuki Wagon R FX 2018 for sale.jpg,./vehicle_images/1636035249808_Suzuki Every 2007 Van.jpg,"[0.16925902664661407, 0.7899767756462097, 3.542724880389869e-05, 0.04072882980108261]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899853904_Suzuki Alto 2015 for sale.jpg,./vehicle_images/1636035250292_Suzuki Wagon R Fx 2017 Car.jpg,"[0.040901679545640945, 0.9576253890991211, 2.106421106873313e-06, 0.001470836577937007]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899854206_Suzuki Alto 2015 for sale.jpg,./vehicle_images/1636035250596_Suzuki Maruti 2005 Car.jpg,"[0.8500479459762573, 0.0314929261803627, 8.551883752261347e-07, 0.11845830827951431]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,1
vehicle_images/1633899854714_Suzuki Wagon R Stingray Safety 2015 for sale.jpg,./vehicle_images/1636035251418_Suzuki Wagon R Fz Safety 2014 Car.jpg,"[0.05887555703520775, 0.9294266700744629, 3.3152903711197723e-07, 0.011697440408170223]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899855038_Suzuki Wagon R FX 2017 for sale.jpg,./vehicle_images/1636035255327_Suzuki Swift Zc71s Japan 2008 Car.jpg,"[0.04113370552659035, 0.6192622184753418, 0.0001237785763805732, 0.3394802212715149]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899856095_Suzuki Maruti 1981 for sale.jpg,./vehicle_images/1636035257432_Suzuki Maruti 2007 Car.jpg,"[0.04181939736008644, 0.7974733114242554, 0.007900047115981579, 0.15280726552009583]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899856252_Suzuki Wagon R Stingray 2018 for sale.jpg,./vehicle_images/1636035257933_Suzuki Burgman 2019 Motorbike.jpg,"[0.00039212487172335386, 0.006435804534703493, 0.9111183881759644, 0.08205372840166092]","[0.001318354276008904, 0.007811571471393108, 0.7356714606285095, 0.2551986575126648]",2,2,1
vehicle_images/1633899887282_Suzuki Wagon R FZ Safety Package 2018 for sale.jpg,./vehicle_images/1636035258249_Suzuki Maruti 800 Sport 2009 Car.jpg,"[0.3471929728984833, 0.31259000301361084, 0.0021465271711349487, 0.33807045221328735]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,1
vehicle_images/1633899888324_Suzuki Wagon R FZ 2018 for sale.jpg,./vehicle_images/1636035279910_Suzuki Swift 2006 Car.jpg,"[0.10546478629112244, 0.877470850944519, 0.0011465717107057571, 0.015917858108878136]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899889856_Suzuki Alto Japan 2002 for sale.jpg,./vehicle_images/1636035280048_Suzuki Every Full Join Turbo 2016 Van.jpg,"[0.014820496551692486, 0.9630756974220276, 0.0005843371036462486, 0.021519433706998825]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899890784_Suzuki Alto 2015 for sale.jpg,./vehicle_images/1636035280211_Suzuki Wagon R Fz Safety 2017 Car.jpg,"[0.06349653005599976, 0.825259804725647, 2.3251958225500857e-07, 0.11124352365732193]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899890924_Suzuki Spacia 2017 for sale.jpg,./vehicle_images/1636035281082_Suzuki Maruti 2005 Car.jpg,"[0.6182613372802734, 0.26108068227767944, 0.0011653986293822527, 0.11949259042739868]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",0,1,1
vehicle_images/1633899921835_Suzuki Wagon R Stingray 2018 for sale.jpg,./vehicle_images/1636035282955_Suzuki Wagon R 2014 Car.jpg,"[0.019489871338009834, 0.9770862460136414, 3.5053520974770436e-08, 0.0034238065127283335]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899923269_Suzuki Wagon R Stingray Safety 2018 for sale.jpg,./vehicle_images/1636035283434_Suzuki Maruti 2007 Car.jpg,"[0.11455538868904114, 0.6592674255371094, 0.0833524838089943, 0.1428246945142746]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899924308_Suzuki Wagon R Stingray 2015 for sale.jpg,./vehicle_images/1636035283920_Suzuki Alto Sport 2016 Car.jpg,"[0.6903030872344971, 0.276324599981308, 0.014191005378961563, 0.019181348383426666]","[0.2682417631149292, 0.30375927686691284, 0.08771122246980667, 0.34028780460357666]",0,3,1
vehicle_images/1633899924826_Suzuki XBee XG 2018 for sale.jpg,./vehicle_images/1636035285222_Suzuki Gn125 2013 Motorbike.jpg,"[0.0013349155196920037, 0.002044055610895157, 0.3483278751373291, 0.6482930779457092]","[0.004668487701565027, 0.020168045535683632, 0.629119336605072, 0.3460441529750824]",3,2,1
vehicle_images/1633899925136_Suzuki Alto Anniversary Edition 2003 for sale.jpg,./vehicle_images/1636035286309_Suzuki Wagon R Fz 2017 Car.jpg,"[0.06137191876769066, 0.9288522601127625, 1.2539725275928504e-06, 0.009774623438715935]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899926083_Suzuki Wagon R FX 2017 for sale.jpg,./vehicle_images/1636035287327_Suzuki Swift Beetle 2007 Car.jpg,"[0.099703349173069, 0.7111545205116272, 6.285149083851138e-06, 0.1891358196735382]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899926373_Suzuki Wagon R Stingray J Style 2015 for sale.jpg,./vehicle_images/1636035287521_Suzuki Wagon R Premium 2018 Car.jpg,"[0.054896190762519836, 0.6614950299263, 1.3441905139188748e-05, 0.28359541296958923]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899926594_Suzuki Wagon R 2019 for sale.jpg,./vehicle_images/1636035287913_Suzuki Wagon R Stingray 2014 Car.jpg,"[0.012418224476277828, 0.40233829617500305, 0.001599396695382893, 0.5836440920829773]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,1
vehicle_images/1633899959519_Suzuki Maruti 800 2005 for sale.jpg,./vehicle_images/1636035288446_Suzuki Alto 2015 Car.jpg,"[0.14687053859233856, 0.7087857127189636, 0.029628749936819077, 0.11471492052078247]","[0.04000753164291382, 0.09553481638431549, 0.37482255697250366, 0.48963505029678345]",1,3,1
vehicle_images/1633899959669_Suzuki Alto 2006 for sale.jpg,./vehicle_images/1636035307103_Suzuki Wagon R Stingray 2014 Car.jpg,"[0.04946918413043022, 0.9143953323364258, 3.477713471511379e-05, 0.036100681871175766]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899962775_Suzuki Wagon R FX 2017 for sale.jpg,./vehicle_images/1636035308844_Suzuki Burgman 2019 Motorbike.jpg,"[0.010935645550489426, 0.635822057723999, 0.015280276536941528, 0.337961882352829]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899996269_Suzuki Wagon R Stingray VXI 2017 for sale.jpg,./vehicle_images/1636035312131_Suzuki Stingray Wagon R 2018 Car.jpg,"[0.0024665731471031904, 0.04787077754735947, 0.01818949542939663, 0.9314731955528259]","[0.23111918568611145, 0.2839948534965515, 0.1091151088476181, 0.37577080726623535]",3,3,1
vehicle_images/1633899996409_Suzuki Wagon R FZ Safety 2018 for sale.jpg,./vehicle_images/1636035315125_Suzuki Alto 2011 Car.jpg,"[0.15842436254024506, 0.5379469394683838, 0.006106431595981121, 0.29752227663993835]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899997549_Suzuki Wagon R Stingray 2014 for sale.jpg,./vehicle_images/1636035317205_Suzuki Alto 2015 Car.jpg,"[0.030090168118476868, 0.8543612360954285, 0.0004671917122323066, 0.11508146673440933]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633899998788_Suzuki SX4 Hatch Back 2007 for sale.jpg,./vehicle_images/1636035317390_Suzuki Wagon R Fx Black Interior 2018 Car.jpg,"[0.11533115804195404, 0.7722728252410889, 3.576960079954006e-05, 0.11236025393009186]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900033424_Suzuki Wagon R Stingray Safety 2017 for sale.jpg,./vehicle_images/1636035319860_Suzuki Wagon R 2015 Car.jpg,"[0.0032625512685626745, 0.9946410655975342, 1.9592972577697765e-08, 0.0020963449496775866]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900036342_Suzuki Spacia 2017 for sale.jpg,./vehicle_images/1636035322235_Suzuki Wagon R Stingray 2015 Car.jpg,"[0.15553946793079376, 0.8161287307739258, 5.114535284178601e-08, 0.028331682085990906]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900071208_Suzuki Wagon R Stingray 2015 for sale.jpg,./vehicle_images/1636035322435_Suzuki Wagon R Stingray J Style 2015 Car.jpg,"[0.125490203499794, 0.37302303314208984, 9.442277587368153e-06, 0.5014773011207581]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",3,1,1
vehicle_images/1633900071897_Suzuki Wagon R FZ Hybrid 2014 for sale.jpg,./vehicle_images/1636035322736_Suzuki Maruti 2005 Car.jpg,"[0.23813825845718384, 0.7321269512176514, 0.002384132705628872, 0.027350647374987602]","[0.25913023948669434, 0.2992801368236542, 0.09258224815130234, 0.34900733828544617]",1,3,1
vehicle_images/1633900072563_Suzuki Wagon R FZ Premium 2018 for sale.jpg,./vehicle_images/1636035322905_Suzuki Wagon R 2015 Car.jpg,"[0.2563367486000061, 0.7371951937675476, 1.3960416156422184e-09, 0.006468095816671848]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900073002_Suzuki Wagon R Stingray 2018 for sale.jpg,./vehicle_images/1636035343726_Suzuki Wagon R Fx 2016 Car.jpg,"[0.025578582659363747, 0.9599084258079529, 7.780168380122632e-05, 0.01443519163876772]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900073152_Suzuki Wagon R Stingray 2014 for sale.jpg,./vehicle_images/1636035345027_Suzuki Maruti 2006 Car.jpg,"[0.22010581195354462, 0.7769186496734619, 1.6162312022061087e-05, 0.0029593671206384897]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
vehicle_images/1633900074752_Suzuki Alto 2014 for sale.jpg,./vehicle_images/1636035348458_Suzuki Alto K10 2011 Car.jpg,"[0.0532555878162384, 0.8570728302001953, 0.0033145975321531296, 0.08635687828063965]","[0.3170369863510132, 0.32381975650787354, 0.06518115848302841, 0.2939620614051819]",1,1,1
